Any,Comarca,Província,Longitud,Latitud,Superfície km2,Població.x 0-15,Població.y 0-15,Població.x 16-24,Població.y 16-24,Població.x 25-44,Població.y 25-44,Població.x 45-64,Població.y 45-64,Població.x 64+,Població.y 64+,Total kg/hab./dia,Recollida no selectiva,Recollida selectiva
2006,Alt Camp,Tarragona,1.168858284,41.262911399,538,3129,3288,2001,2169,6262,7115,4660,5027,3906,3120,1.47,14315.14,7772.63
2006,Alt Empordà,Girona,2.846670142,42.393804699,1358,9365,9803,5985,6239,19131,20972,13913,14500,11109,8945,2.94,95090.93,37897.31
2006,Alt Penedès,Barcelona,1.777332142,41.361030685,593,7732,8135,4553,4892,15689,17564,10610,11134,8419,6512,1.62,40258.06,16867.25
2006,Alt Urgell,Lleida,1.508278479,42.351403709,1447,1252,1411,1007,994,3305,3418,2376,2670,2294,1917,1.31,5068.45,5082
2006,Alta Ribagorça,Lleida,0.801124657,42.505378455,427,236,282,179,190,629,784,418,501,414,348,1.67,2147.76,335.41
2006,Anoia,Barcelona,1.443554697,41.59783259,866,8823,9391,5528,5614,17218,19490,12140,12523,9633,7265,1.63,55028.01,9970.66
2006,Bages,Barcelona,1.631966008,41.739169106,1299,12440,13430,8124,8416,26319,29271,20510,20569,19009,13456,1.46,61547.23,30708.47
2006,Baix Camp,Tarragona,0.975413192,41.210359353,697,14119,14676,8790,9102,27775,30049,19552,19921,14186,10916,1.82,75672.64,39400.37
2006,Baix Ebre,Tarragona,0.500058469,40.879900446,1003,5237,5704,3825,4173,10912,13376,8796,8896,8274,6607,1.52,35498.39,6805.87
2006,Baix Empordà,Girona,3.085288573,42.104398466,702,9142,9731,5757,6064,18816,20976,14361,14785,11050,8781,2.61,93098.4,25062.2
2006,Baix Llobregat,Barcelona,1.902601581,41.516171187,486,60759,64598,37091,38771,132272,140433,90141,88104,56386,43449,1.42,283169.27,114752.63
2006,Baix Penedès,Tarragona,1.486364127,41.245744816,296,6824,7149,4168,4158,13776,15531,9995,10378,6332,5569,2.27,59902.21,11224.11
2006,Barcelonès,Barcelona,2.24587666,41.452263347,145,137922,145689,101322,103508,357296,374931,285340,255010,257379,169837,1.4,836560.44,299391.17
2006,Berguedà,Barcelona,1.825611891,42.077717227,1185,2412,2602,1841,1972,5447,5997,4997,5204,5345,3986,1.44,16046.22,5024.97
2006,Cerdanya,Girona,1.837361267,42.397592638,547,1206,1376,805,923,2825,3271,1874,2196,1422,1165,2.13,10957.83,2421.19
2006,Conca de Barberà,Tarragona,1.228323935,41.41091586,650,1367,1476,965,1008,2849,3308,2219,2435,2476,1924,1.38,6406.88,3837.7
2006,Garraf,Barcelona,1.722171016,41.28615903,185,10658,10925,6036,6127,22411,23205,15645,15782,10307,7760,1.94,62624,31803.57
2006,Garrigues,Lleida,0.924154304,41.541651668,798,1136,1259,860,972,2492,3032,2321,2512,2678,2277,0.95,6032.45,933.9
2006,Garrotxa,Girona,2.641583767,42.21317776,735,3672,3877,2349,2476,7532,8559,6114,6582,6300,4714,1.61,23158.37,7830.95
2006,Gironès,Girona,2.761759172,41.938317975,575,13835,14622,8847,8872,27702,30653,18027,17813,13419,9686,1.43,54317.42,32296.58
2006,Maresme,Barcelona,2.294956934,41.493732172,399,32099,34426,19957,21308,66956,70963,49122,48632,33255,24394,1.77,178399.52,86085.98
2006,Montsià,Tarragona,0.480770667,40.5432439,735,4563,4763,3323,3506,9738,11238,7125,7406,6642,5556,1.4,24998.65,8426.29
2006,Noguera,Lleida,0.660407593,41.751364415,1784,2568,2637,1803,1810,5365,6199,4183,4509,4521,3819,1.31,16468.51,1943.37
2006,Osona,Barcelona,2.250544628,41.767986176,1260,11452,12409,7152,7418,22265,25189,16531,16956,14044,10206,1.39,39676.9,34349.76
2006,Pallars Jussà,Lleida,1.09247165,42.16144193,1343,722,755,508,564,1594,1850,1448,1594,1932,1573,1.33,4564.05,1581.55
