Densitat de població. Comarques, àmbits i províncies
2012
"Font: Idescat. Padró municipal d'habitants; Institut Cartogràfic de Catalunya."
Nota: La Llei 23/2010, de 22 de juliol, de creació de l'àmbit del Penedès, divideix Catalunya en vuit àmbits territorials de planificació. Aquest canvi comporta que les dades dels àmbits Metropolità, Comarques Centrals i Camp de Tarragona no siguin directament comparables amb anys anteriors.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=201200
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;45299;538;84,2
Alt Empordà;141517;1358;104,2
Alt Penedès;106252;593;179,3
Alt Urgell;21386;1448;14,8
Alta Ribagorça;4235;427;9,9
Anoia;118817;866;137,2
Bages;186084;1299;143,2
Baix Camp;193535;697;277,6
Baix Ebre;83125;1003;82,9
Baix Empordà;133754;702;190,6
Baix Llobregat;806799;486;1660,1
Baix Penedès;101138;297;341,1
Barcelonès;2254052;146;15465,2
Berguedà;41202;1185;34,8
Cerdanya;19047;547;34,8
Conca de Barberà;21148;650;32,5
Garraf;147107;185;794,7
Garrigues;20212;798;25,3
Garrotxa;55855;735;76,0
Gironès;184187;576;320,0
Maresme;436487;399;1095,3
Montsià;72121;735;98,1
Noguera;40200;1784;22,5
Osona;154588;1260;122,7
Pallars Jussà;14113;1343;10,5
Pallars Sobirà;7457;1378;5,4
Pla d'Urgell;37267;305;122,1
Pla de l'Estany;31463;263;119,7
Priorat;9971;499;20,0
Ribera d'Ebre;23867;827;28,8
Ripollès;26268;957;27,5
Segarra;23365;723;32,3
Segrià;209965;1397;150,3
Selva;173518;995;174,4
Solsonès;13676;1001;13,7
Tarragonès;251282;319;786,7
Terra Alta;12713;743;17,1
Urgell;36975;580;63,8
Val d'Aran;10056;634;15,9
Vallès Occidental;898173;583;1540,3
Vallès Oriental;402632;851;473,1
Catalunya;7570908;32108;235,8
Metropolità;4798143;2464;1947,0
Comarques Gironines;746562;5584;133,7
Camp de Tarragona;521235;2703;192,8
Terres de l'Ebre;191826;3308;58,0
Ponent;367984;5586;65,9
Comarques Centrals;395550;4746;83,3
Alt Pirineu i Aran;76294;5776;13,2
Penedès;473314;1941;243,9
Barcelona;5552050;7726;718,6
Girona;761627;5905;129,0
Lleida;443032;12168;36,4
Tarragona;814199;6308;129,1

