Densitat de població. Comarques, àmbits i províncies
2013
"Font: Idescat. Padró municipal d'habitants; Institut Cartogràfic de Catalunya."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=201300
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;44771;538;83,2
Alt Empordà;141351;1358;104,1
Alt Penedès;106242;593;179,3
Alt Urgell;21128;1448;14,6
Alta Ribagorça;4097;427;9,6
Anoia;118467;866;136,8
Bages;185718;1299;143,0
Baix Camp;193455;697;277,5
Baix Ebre;81514;1003;81,3
Baix Empordà;133787;702;190,7
Baix Llobregat;808644;486;1663,9
Baix Penedès;101100;297;341,0
Barcelonès;2240437;146;15366,5
Berguedà;40555;1185;34,2
Cerdanya;18630;547;34,1
Conca de Barberà;20992;650;32,3
Garraf;146609;185;792,1
Garrigues;20058;798;25,1
Garrotxa;56106;735;76,4
Gironès;185085;576;321,6
Maresme;437431;399;1097,7
Montsià;71577;735;97,3
Noguera;39828;1784;22,3
Osona;155069;1260;123,0
Pallars Jussà;13607;1343;10,1
Pallars Sobirà;7330;1378;5,3
Pla d'Urgell;37249;305;122,1
Pla de l'Estany;31325;263;119,2
Priorat;9756;499;19,6
Ribera d'Ebre;23477;827;28,4
Ripollès;25995;957;27,2
Segarra;22971;723;31,8
Segrià;210141;1397;150,5
Selva;173128;995;174,0
Solsonès;13621;1001;13,6
Tarragonès;251226;319;786,6
Terra Alta;12310;743;16,6
Urgell;36863;580;63,6
Val d'Aran;10090;634;15,9
Vallès Occidental;898921;583;1541,6
Vallès Oriental;402989;851;473,5
Catalunya;7553650;32108;235,3
Metropolità;4788422;2464;1943,0
Comarques Gironines;746777;5584;133,7
Camp de Tarragona;520200;2703;192,4
Terres de l'Ebre;188878;3309;57,1
Ponent;367110;5586;65,7
Comarques Centrals;394963;4746;83,2
Alt Pirineu i Aran;74882;5776;13,0
Penedès;472418;1941;243,4
Barcelona;5540925;7726;717,1
Girona;761632;5905;129,0
Lleida;440915;12168;36,2
Tarragona;810178;6308;128,4

