Densitat de població. Comarques i Aran, àmbits i províncies
2019
"Font: Idescat. Padró municipal d'habitants; Institut Cartogràfic de Catalunya."
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=201900
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;44296;538;82,3
Alt Empordà;141339;1358;104,1
Alt Penedès;108411;593;182,9
Alt Urgell;20177;1447;13,9
Alta Ribagorça;3802;427;8,9
Anoia;120738;866;139,4
Aran;10093;634;15,9
Bages;178885;1092;163,8
Baix Camp;190973;697;273,9
Baix Ebre;77596;1003;77,4
Baix Empordà;134359;702;191,5
Baix Llobregat;825963;486;1699,6
Baix Penedès;104991;296;354,2
Barcelonès;2278437;146;15632,5
Berguedà;39446;1185;33,3
Cerdanya;18192;547;33,3
Conca de Barberà;20042;650;30,8
Garraf;150887;185;815,1
Garrigues;18833;798;23,6
Garrotxa;57590;735;78,4
Gironès;193908;576;336,9
Lluçanès;..;..;..
Maresme;452690;399;1135,9
Moianès;13603;338;40,3
Montsià;67436;735;91,7
Noguera;38770;1784;21,7
Osona;160821;1245;129,2
Pallars Jussà;13080;1343;9,7
Pallars Sobirà;6932;1378;5,0
Pla d'Urgell;36693;305;120,3
Pla de l'Estany;32293;263;122,9
Priorat;9245;499;18,5
Ribera d'Ebre;21865;827;26,4
Ripollès;25087;957;26,2
Segarra;23052;723;31,9
Segrià;209818;1397;150,2
Selva;171617;995;172,5
Solsonès;13469;1001;13,5
Tarragonès;256730;319;803,9
Terra Alta;11490;743;15,5
Urgell;36693;580;63,3
Vallès Occidental;925237;583;1586,7
Vallès Oriental;409638;735;557,3
Catalunya;7675217;32108;239,0
Metropolità;4895876;2464;1986,7
Comarques Gironines;756193;5584;135,4
Camp de Tarragona;521286;2703;192,8
Terres de l'Ebre;178387;3308;53,9
Ponent;363859;5586;65,1
Comarques Centrals;407606;4941;82,5
Alt Pirineu i Aran;72276;5776;12,5
Penedès;479734;1746;274,8
Barcelona;5664579;7726;733,2
Girona;771044;5905;130,6
Lleida;434930;12168;35,7
Tarragona;804664;6308;127,6

