Densitat de població. Comarques i Aran, àmbits i províncies
2022
Font: Idescat, a partir del Cens de població anual de l'INE.
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=202200
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;45540;538;84,7
Alt Empordà;144926;1358;106,8
Alt Penedès;110929;593;187,2
Alt Urgell;20482;1447;14,2
Alta Ribagorça;3958;427;9,3
Anoia;125065;866;144,4
Aran;10268;634;16,2
Bages;180873;1092;165,6
Baix Camp;197525;697;283,3
Baix Ebre;79636;1003;79,4
Baix Empordà;138517;702;197,4
Baix Llobregat;833540;486;1715,1
Baix Penedès;112460;296;379,4
Barcelonès;2280042;146;15643,5
Berguedà;40279;1185;34,0
Cerdanya;19443;547;35,6
Conca de Barberà;20176;650;31,0
Garraf;156794;185;847,0
Garrigues;19011;798;23,8
Garrotxa;59750;735;81,3
Gironès;198582;576;345,0
Lluçanès;..;..;..
Maresme;462213;399;1159,8
Moianès;14428;338;42,7
Montsià;68744;735;93,5
Noguera;39297;1784;22,0
Osona;165229;1245;132,7
Pallars Jussà;13199;1343;9,8
Pallars Sobirà;7181;1378;5,2
Pla d'Urgell;37045;305;121,4
Pla de l'Estany;32941;263;125,4
Priorat;9238;499;18,5
Ribera d'Ebre;21920;827;26,5
Ripollès;25510;957;26,7
Segarra;23601;723;32,7
Segrià;212388;1397;152,1
Selva;177542;995;178,4
Solsonès;13632;1001;13,6
Tarragonès;263428;319;824,8
Terra Alta;11408;743;15,4
Urgell;37447;580;64,6
Vallès Occidental;940881;583;1613,5
Vallès Oriental;417543;735;568,1
Catalunya;7792611;32108;242,7
Metropolità;4938404;2464;2003,9
Comarques Gironines;777768;5584;139,3
Camp de Tarragona;535907;2703;198,2
Terres de l'Ebre;181708;3308;54,9
Ponent;368789;5586;66,0
Comarques Centrals;415668;4941;84,1
Alt Pirineu i Aran;74531;5776;12,9
Penedès;499836;1746;286,3
Barcelona;5727615;7726;741,3
Girona;793478;5905;134,4
Lleida;441443;12168;36,3
Tarragona;830075;6308;131,6

