Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2007
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200700&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;6783;4209;13965;10126;7144;42227
Alt Empordà;20408;12583;42689;30183;20651;126514
Alt Penedès;16724;9321;34688;22680;15217;98630
Alt Urgell;2779;1980;6813;5264;4180;21016
Alta Ribagorça;520;384;1426;985;745;4060
Anoia;19093;11014;38135;25682;17080;111004
Bages;27093;16312;57467;42450;32615;175937
Baix Camp;30506;18312;60777;41318;25630;176543
Baix Ebre;11483;8017;25408;18349;15106;78363
Baix Empordà;19759;12051;41507;30517;20229;124063
Baix Llobregat;128915;74050;275493;182348;101761;762567
Baix Penedès;15222;8649;31650;21736;12458;89715
Barcelonès;287866;200940;740726;544889;427902;2202323
Berguedà;5181;3718;11663;10546;9264;40372
Cerdanya;2726;1745;6367;4262;2623;17723
Conca de Barberà;2902;1954;6293;4846;4402;20397
Garraf;22741;12414;47748;32953;18578;134434
Garrigues;2446;1845;5608;4955;4930;19784
Garrotxa;7840;4841;16400;13176;10953;53210
Gironès;29686;17998;60870;37186;23284;169024
Maresme;68592;40555;140972;101310;59096;410525
Montsià;9892;6890;22111;15082;12436;66411
Noguera;5300;3569;11735;8984;8347;37935
Osona;24543;14316;48396;34765;24439;146459
Pallars Jussà;1588;1085;3616;3231;3517;13037
Pallars Sobirà;957;621;2426;1768;1406;7178
Pla d'Urgell;5360;3347;11699;7746;6517;34669
Pla de l'Estany;5086;2805;9166;6654;4806;28517
Priorat;1156;803;2810;2444;2471;9684
Ribera d'Ebre;2956;2229;6395;5962;5181;22723
Ripollès;3252;2308;7694;7066;6194;26514
Segarra;3521;2018;7502;4621;3950;21612
Segrià;29879;19090;65196;44144;31773;190082
Selva;25129;15413;54257;36563;21851;153213
Solsonès;2134;1327;4347;3118;2541;13467
Tarragonès;37894;23688;81086;53573;30638;226879
Terra Alta;1487;1149;3373;3197;3411;12617
Urgell;5458;3422;11196;8079;6899;35054
Val d'Aran;1443;1018;3846;2282;1074;9663
Vallès Occidental;147883;84238;298028;195650;113259;839058
Vallès Oriental;65883;36873;134770;87200;48805;373531
Catalunya;1110066;689101;2456314;1717890;1173363;7146734
Metropolità;738604;458391;1672425;1167030;784618;4821068
Comarques Gironines;111160;67999;232583;161345;107968;681055
Camp de Tarragona;94463;57615;196581;134043;82743;565445
Terres de l'Ebre;25818;18285;57287;42590;36134;180114
Ponent;51964;33291;112936;78529;62416;339136
Comarques Centrals;78044;46687;160008;116561;85939;487239
Alt Pirineu i Aran;10013;6833;24494;17792;13545;72677
Barcelona;814581;503724;1828059;1280425;867870;5294659
Girona;113360;69477;237817;164717;109990;695361
Lleida;61844;40000;136570;96115;76625;411154
Tarragona;120281;75900;253868;176633;118878;745560
Població a 1 de gener. Per sexe i grups d'edat. Homes. Comarques, àmbits i províncies
2007
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200700&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3488;2173;7455;5224;3178;21518
Alt Empordà;10466;6417;22448;15465;9243;64039
Alt Penedès;8558;4803;18391;11584;6647;49983
Alt Urgell;1468;997;3478;2783;1901;10627
