Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2013
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=201300
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,16;10684,61;8218,02;18902,63
02;Alt Empordà;2,10;69852,33;38348,69;108201,02
03;Alt Penedès;1,30;30101,62;20288,39;50390,01
04;Alt Urgell;1,19;4925,09;4245,77;9170,86
05;Alta Ribagorça;1,22;1238,94;584,77;1823,71
06;Anoia;1,39;48142,31;11932,12;60074,43
39;Aran;2,08;5396,34;2275,01;7671,35
07;Bages;1,17;47603,83;31764,06;79367,89
08;Baix Camp;1,42;58560,36;41793,38;100353,75
09;Baix Ebre;1,45;23305,44;19732,08;43037,52
10;Baix Empordà;2,07;65902,89;35267,62;101170,50
11;Baix Llobregat;1,19;223055,99;127822,17;350878,16
12;Baix Penedès;1,63;46071,40;14158,20;60229,60
13;Barcelonès;1,17;643874,40;309844,79;953719,19
14;Berguedà;1,23;13456,94;4799,32;18256,26
15;Cerdanya;1,69;9066,35;2439,81;11506,16
16;Conca de Barberà;1,35;5292,47;5083,53;10376,00
17;Garraf;1,60;51935,00;33430,56;85365,56
18;Garrigues;0,98;5511,82;1636,32;7148,14
19;Garrotxa;1,32;16180,00;10770,55;26950,55
20;Gironès;1,05;43159,85;27742,48;70902,33
21;Maresme;1,43;132814,94;95115,11;227930,05
22;Montsià;1,26;16341,61;16642,56;32984,16
23;Noguera;1,05;11206,78;4088,12;15294,90
24;Osona;1,10;26166,73;36363,41;62530,14
25;Pallars Jussà;1,23;4008,32;2095,21;6103,53
26;Pallars Sobirà;1,46;2653,11;1250,86;3903,97
27;Pla d'Urgell;1,05;7865,83;6434,35;14300,18
28;Pla de l'Estany;1,25;9020,10;5237,61;14257,71
29;Priorat;1,10;2056,75;1845,03;3901,78
30;Ribera d'Ebre;1,17;5239,32;4778,54;10017,86
31;Ripollès;1,45;8050,48;5701,76;13752,24
32;Segarra;1,00;3847,39;4503,73;8351,12
33;Segrià;1,05;61509,61;19041,96;80551,57
34;Selva;1,63;71288,09;31809,78;103097,87
35;Solsonès;1,18;3677,22;2198,97;5876,19
36;Tarragonès;1,56;92808,33;50138,04;142946,36
37;Terra Alta;0,89;1827,00;2189,35;4016,35
38;Urgell;1,13;9842,04;5361,56;15203,60
40;Vallès Occidental;1,06;221498,19;127347,89;348846,08
41;Vallès Oriental;1,26;111781,92;73626,40;185408,32
;Catalunya;1,30;2226821,73;1361815,86;3588637,59

