Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2015
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 41 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 4/2015, de creació de la comarca del Moianès, que modifica territorialment el Bages, Osona i el Vallès Oriental).
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=201500
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,24;11421,75;8610,33;20032,08
02;Alt Empordà;2,18;70598,56;40568,61;111167,17
03;Alt Penedès;1,36;30354,95;22179,82;52534,77
04;Alt Urgell;1,26;4982,73;4501,75;9484,48
05;Alta Ribagorça;1,35;1186,46;727,69;1914,15
06;Anoia;1,48;44248,74;19124,63;63373,37
39;Aran;2,58;5241,52;4117,74;9359,26
07;Bages;1,19;43862,71;31776,50;75639,21
08;Baix Camp;1,40;58926,54;37297,53;96224,07
09;Baix Ebre;1,41;24417,61;16566,58;40984,19
10;Baix Empordà;2,13;64268,70;38820,37;103089,07
11;Baix Llobregat;1,21;229080,45;128538,77;357619,22
12;Baix Penedès;1,74;46576,66;16923,70;63500,36
13;Barcelonès;1,20;653366,69;321852,06;975218,75
14;Berguedà;1,38;13920,53;6019,17;19939,70
15;Cerdanya;1,88;9478,08;2755,61;12233,69
16;Conca de Barberà;1,40;5273,37;5172,97;10446,34
17;Garraf;1,61;54331,00;31414,79;85745,79
18;Garrigues;1,00;5429,07;1632,97;7062,04
19;Garrotxa;1,37;16332,54;11605,62;27938,16
20;Gironès;1,13;41983,96;34211,53;76195,48
21;Maresme;1,45;131961,67;101441,70;233403,37
42;Moianès;1,52;3547,00;3726,49;7273,49
22;Montsià;1,32;15973,77;16955,90;32929,67
23;Noguera;1,09;11453,34;4144,30;15597,64
24;Osona;1,14;25591,77;38958,12;64549,89
25;Pallars Jussà;1,29;4270,53;2134,74;6405,27
26;Pallars Sobirà;1,57;1966,62;2078,06;4044,68
27;Pla d'Urgell;1,08;7712,37;6910,37;14622,74
28;Pla de l'Estany;1,29;9260,72;5570,53;14831,25
29;Priorat;1,20;2141,29;2051,62;4192,91
30;Ribera d'Ebre;1,22;5498,38;4618,75;10117,13
31;Ripollès;1,46;8074,09;5473,11;13547,20
32;Segarra;1,07;4289,88;4559,35;8849,23
33;Segrià;1,11;64248,33;20341,49;84589,82
34;Selva;1,76;70267,67;37960,37;108228,03
35;Solsonès;1,29;3963,48;2372,57;6336,05
36;Tarragonès;1,64;101002,95;48193,56;149196,51
37;Terra Alta;0,93;1989,11;2050,93;4040,04
38;Urgell;1,20;10139,21;5815,13;15954,34
40;Vallès Occidental;1,09;230024,45;128688,38;358712,83
41;Vallès Oriental;1,24;112993,55;68813,90;181807,45
;Catalunya;1,35;2261652,79;1442005,08;3703657,87

