Municipi;Municipi forma indexada;Cap de municipi;Cap de municipi indexada;Codi municipi;Codi municipi INE;Comarca;Codi comarca;Abreviatura comarca;Província;Codi província;UTM X;UTM Y;Longitud;Latitud
Alcover;Alcover;Alcover;Alcover;430056;43005;Alt Camp;1;ACA;Tarragona;43;346608;4569560;1.168858284;41.262911399
Alió;Alió;Alió;Alió;430108;43010;Alt Camp;1;ACA;Tarragona;43;358194;4572852;1.30634069;41.294663936
Bràfim;Bràfim;Bràfim;Bràfim;430347;43034;Alt Camp;1;ACA;Tarragona;43;361066;4569918;1.341290393;41.268749059
Cabra del Camp;Cabra del Camp;Cabra del Camp;Cabra del Camp;430363;43036;Alt Camp;1;ACA;Tarragona;43;355955;4584072;1.276943289;41.395294284
Figuerola del Camp;Figuerola del Camp;Figuerola del Camp;Figuerola del Camp;430593;43059;Alt Camp;1;ACA;Tarragona;43;354900;4581444;1.264965381;41.37144108
Mont-ral;Mont-ral;Mont-ral;Mont-ral;430918;43091;Alt Camp;1;ACA;Tarragona;43;340641;4572346;1.096936669;41.286833283
Montferri;Montferri;Montferri;Montferri;430897;43089;Alt Camp;1;ACA;Tarragona;43;363110;4569536;1.365779712;41.26565945
Nulles;Nulles;Nulles;Nulles;430982;43098;Alt Camp;1;ACA;Tarragona;43;357163;4567835;1.295200025;41.249312047
Puigpelat;Puigpelat;Puigpelat;Puigpelat;431191;43119;Alt Camp;1;ACA;Tarragona;43;357373;4571227;1.296914752;41.279887357
Querol;Querol;Querol;Querol;431205;43120;Alt Camp;1;ACA;Tarragona;43;366051;4586948;1.397024653;41.422933287
Rodonyà;Rodonyà;Rodonyà;Rodonyà;431325;43132;Alt Camp;1;ACA;Tarragona;43;365927;4571057;1.399061774;41.279828899
Aiguamúrcia;Aiguamúrcia;Santes Creus;Santes Creus;430017;43001;Alt Camp;1;ACA;Tarragona;43;363069;4578512;1.363265165;41.346470735
Vallmoll;Vallmoll;Vallmoll;Vallmoll;431606;43160;Alt Camp;1;ACA;Tarragona;43;353278;4567149;1.249025345;41.242443869
Valls;Valls;Valls;Valls;431613;43161;Alt Camp;1;ACA;Tarragona;43;353265;4571785;1.247752539;41.284175629
Vila-rodona;Vila-rodona;Vila-rodona;Vila-rodona;431704;43170;Alt Camp;1;ACA;Tarragona;43;362563;4574564;1.358117024;41.31083706
Vilabella;Vilabella;Vilabella;Vilabella;431652;43165;Alt Camp;1;ACA;Tarragona;43;360068;4567504;1.329941491;41.246835677
el Milà;Milà, el;el Milà;Milà, el;430831;43083;Alt Camp;1;ACA;Tarragona;43;349738;4567828;1.20662969;41.247906855
el Pla de Santa Maria;Pla de Santa Maria, el;el Pla de Santa Maria;Pla de Santa Maria, el;431080;43108;Alt Camp;1;ACA;Tarragona;43;356885;4580759;1.288852863;41.365624908
el Pont d'Armentera;Pont d'Armentera, el;el Pont d'Armentera;Pont d'Armentera, el;431135;43113;Alt Camp;1;ACA;Tarragona;43;363109;4582643;1.362805361;41.383674473
el Rourell;Rourell, el;el Rourell;Rourell, el;431346;43134;Alt Camp;1;ACA;Tarragona;43;350661;4565155;1.218295132;41.224012217
els Garidells;Garidells, els;els Garidells;Garidells, els;430666;43066;Alt Camp;1;ACA;Tarragona;43;353007;4563259;1.246729151;41.207366433
la Masó;Masó, la;la Masó;Masó, la;430803;43080;Alt Camp;1;ACA;Tarragona;43;351064;4566355;1.222803463;41.23488639
la Riba;Riba, la;la Riba;Riba, la;431248;43124;Alt Camp;1;ACA;Tarragona;43;347506;4575688;1.178031912;41.318250949
Agullana;Agullana;Agullana;Agullana;170010;17001;Alt Empordà;2;AEM;Girona;17;487380;4693513;2.846670142;42.393804699
Albanyà;Albanyà;Albanyà;Albanyà;170031;17003;Alt Empordà;2;AEM;Girona;17;476903;4683592;2.719766852;42.304220366
Avinyonet de Puigventós;Avinyonet de Puigventós;Avinyonet de Puigventós;Avinyonet de Puigventós;170123;17012;Alt Empordà;2;AEM;Girona;17;492963;4677486;2.914701715;42.249534831
Biure;Biure;Biure;Biure;172348;17234;Alt Empordà;2;AEM;Girona;17;491350;4687272;2.894998835;42.337657992
Boadella i les Escaules;Boadella i les Escaules;Boadella d'Empordà;Boadella d'Empordà;170293;17029;Alt Empordà;2;AEM;Girona;17;488158;4686417;2.856271057;42.32991431
Borrassà;Borrassà;Borrassà;Borrassà;170268;17026;Alt Empordà;2;AEM;Girona;17;493918;4674516;2.926309348;42.222794565
Bàscara;Bàscara;Bàscara;Bàscara;170160;17016;Alt Empordà;2;AEM;Girona;17;492602;4667516;2.910444572;42.159735746
Cabanelles;Cabanelles;Cabanelles;Cabanelles;170314;17031;Alt Empordà;2;AEM;Girona;17;485122;4675423;2.819698027;42.230847849
Cabanes;Cabanes;Cabanes;Cabanes;170307;17030;Alt Empordà;2;AEM;Girona;17;498210;4683863;2.978283233;42.307000409
Cadaqués;Cadaqués;Cadaqués;Cadaqués;170329;17032;Alt Empordà;2;AEM;Girona;17;522744;4681800;3.275869869;42.288087206
Saus, Camallera i Llampaies;Saus, Camallera i Llampaies;Camallera;Camallera;171870;17187;Alt Empordà;2;AEM;Girona;17;497004;4663448;2.963758519;42.123132701
Cantallops;Cantallops;Cantallops;Cantallops;170412;17041;Alt Empordà;2;AEM;Girona;17;493856;4696636;2.925318506;42.422007911
Capmany;Capmany;Capmany;Capmany;170427;17042;Alt Empordà;2;AEM;Girona;17;493498;4691138;2.921023161;42.372493241
Castelló d'Empúries;Castelló d'Empúries;Castelló d'Empúries;Castelló d'Empúries;170470;17047;Alt Empordà;2;AEM;Girona;17;506139;4678461;3.074434461;42.258323711
Cistella;Cistella;Cistella;Cistella;170519;17051;Alt Empordà;2;AEM;Girona;17;487405;4679620;2.847275069;42.268681362
Colera;Colera;Colera;Colera;170545;17054;Alt Empordà;2;AEM;Girona;17;512407;4694628;3.150766201;42.403848704
Darnius;Darnius;Darnius;Darnius;170600;17060;Alt Empordà;2;AEM;Girona;17;486164;4690711;2.831958326;42.368552781
Espolla;Espolla;Espolla;Espolla;170643;17064;Alt Empordà;2;AEM;Girona;17;500071;4693199;3.000865645;42.391085003
Figueres;Figueres;Figueres;Figueres;170669;17066;Alt Empordà;2;AEM;Girona;17;496767;4679450;2.960796851;42.267253018
Fortià;Fortià;Fortià;Fortià;170741;17074;Alt Empordà;2;AEM;Girona;17;503358;4676648;3.040704541;42.242008394
Garriguella;Garriguella;Garriguella;Garriguella;170773;17077;Alt Empordà;2;AEM;Girona;17;505294;4687782;3.064274139;42.342280012
Garrigàs;Garrigàs;Garrigàs;Garrigàs;170754;17075;Alt Empordà;2;AEM;Girona;17;496208;4671253;2.954078557;42.193423593
Lladó;Lladó;Lladó;Lladó;170887;17088;Alt Empordà;2;AEM;Girona;17;484640;4677285;2.813803126;42.24760608
Llançà;Llançà;Llançà;Llançà;170926;17092;Alt Empordà;2;AEM;Girona;17;513312;4690845;3.161675555;42.369766138
Llers;Llers;Llers;Llers;170932;17093;Alt Empordà;2;AEM;Girona;17;492775;4682580;2.912353205;42.295408877
Pedret i Marzà;Pedret i Marzà;Marzà;Marzà;171292;17129;Alt Empordà;2;AEM;Girona;17;505565;4684287;3.067521597;42.310801228
Masarac i Vilarnadal;Masarac i Vilarnadal;Masarac;Masarac;171002;17100;Alt Empordà;2;AEM;Girona;17;497758;4688718;2.972775685;42.350721867
Maçanet de Cabrenys;Maçanet de Cabrenys;Maçanet de Cabrenys;Maçanet de Cabrenys;171024;17102;Alt Empordà;2;AEM;Girona;17;479262;4692658;2.7480676;42.385936018
Mollet de Peralada;Mollet de Peralada;Mollet de Peralada;Mollet de Peralada;171061;17106;Alt Empordà;2;AEM;Girona;17;499981;4689727;2.999774376;42.359809515
Navata;Navata;Navata;Navata;171117;17111;Alt Empordà;2;AEM;Girona;17;488503;4674631;2.860683132;42.223772945
Ordis;Ordis;Ordis;Ordis;171156;17115;Alt Empordà;2;AEM;Girona;17;492303;4674054;2.90674003;42.218616663
Palau-saverdera;Palau-saverdera;Palau-saverdera;Palau-saverdera;171208;17120;Alt Empordà;2;AEM;Girona;17;512364;4683990;3.150017098;42.308041536
Pau;Pau;Pau;Pau;171289;17128;Alt Empordà;2;AEM;Girona;17;509573;4684848;3.116168969;42.315815593
Peralada;Peralada;Peralada;Peralada;171328;17132;Alt Empordà;2;AEM;Girona;17;500671;4684001;3.008139245;42.308241321
Pont de Molins;Pont de Molins;Pont de Molins;Pont de Molins;171352;17135;Alt Empordà;2;AEM;Girona;17;493876;4684709;2.925690703;42.314591198
Pontós;Pontós;Pontós;Pontós;171365;17136;Alt Empordà;2;AEM;Girona;17;493110;4670504;2.916566672;42.18665597
Portbou;Portbou;Portbou;Portbou;171387;17138;Alt Empordà;2;AEM;Girona;17;513047;4697073;3.158606152;42.42586273
Rabós;Rabós;Rabós;Rabós;171432;17143;Alt Empordà;2;AEM;Girona;17;502348;4691865;3.028524999;42.379064345
Riumors;Riumors;Riumors;Riumors;171518;17151;Alt Empordà;2;AEM;Girona;17;503476;4675014;3.042124039;42.227300327
Roses;Roses;Roses;Roses;171523;17152;Alt Empordà;2;AEM;Girona;17;514672;4678903;3.17788689;42.262191491
Sant Climent Sescebes;Sant Climent Sescebes;Sant Climent Sescebes;Sant Climent Sescebes;171582;17158;Alt Empordà;2;AEM;Girona;17;498395;4690723;2.980503302;42.36878192
Sant Llorenç de la Muga;Sant Llorenç de la Muga;Sant Llorenç de la Muga;Sant Llorenç de la Muga;171714;17171;Alt Empordà;2;AEM;Girona;17;482659;4685326;2.789555289;42.319985549
Sant Miquel de Fluvià;Sant Miquel de Fluvià;Sant Miquel de Fluvià;Sant Miquel de Fluvià;171753;17175;Alt Empordà;2;AEM;Girona;17;499315;4668870;2.991704388;42.171967774
Sant Mori;Sant Mori;Sant Mori;Sant Mori;171766;17176;Alt Empordà;2;AEM;Girona;17;499237;4666850;2.990767175;42.153775931
Sant Pere Pescador;Sant Pere Pescador;Sant Pere Pescador;Sant Pere Pescador;171788;17178;Alt Empordà;2;AEM;Girona;17;506768;4670671;3.081960079;42.188156771
Palau de Santa Eulàlia;Palau de Santa Eulàlia;Santa Eulàlia;Santa Eulàlia;171194;17119;Alt Empordà;2;AEM;Girona;17;497077;4669020;2.964613902;42.173310991
Santa Llogaia d'Àlguema;Santa Llogaia d'Àlguema;Santa Llogaia d'Àlguema;Santa Llogaia d'Àlguema;171827;17182;Alt Empordà;2;AEM;Girona;17;496041;4675684;2.952019792;42.233328579
Siurana;Siurana;Siurana;Siurana;170524;17052;Alt Empordà;2;AEM;Girona;17;499514;4673034;2.994110033;42.209474489
Terrades;Terrades;Terrades;Terrades;171962;17196;Alt Empordà;2;AEM;Girona;17;486796;4684252;2.839785356;42.310392674
Torroella de Fluvià;Torroella de Fluvià;Torroella de Fluvià;Torroella de Fluvià;171984;17198;Alt Empordà;2;AEM;Girona;17;503384;4669194;3.040968953;42.17487873
Ventalló;Ventalló;Ventalló;Ventalló;172109;17210;Alt Empordà;2;AEM;Girona;17;502221;4666306;3.026876583;42.148875212
Vila-sacra;Vila-sacra;Vila-sacra;Vila-sacra;172305;17230;Alt Empordà;2;AEM;Girona;17;501495;4679255;3.018132233;42.265498568
Vilabertran;Vilabertran;Vilabertran;Vilabertran;172142;17214;Alt Empordà;2;AEM;Girona;17;498480;4681164;2.981560473;42.282694936
Viladamat;Viladamat;Viladamat;Viladamat;172174;17217;Alt Empordà;2;AEM;Girona;17;506179;4664597;3.074770992;42.133457267
Vilafant;Vilafant;Vilafant;Vilafant;172214;17221;Alt Empordà;2;AEM;Girona;17;494850;4677201;2.937576321;42.246982743
Vilajuïga;Vilajuïga;Vilajuïga;Vilajuïga;172235;17223;Alt Empordà;2;AEM;Girona;17;507659;4685922;3.092960052;42.325510093
Vilamacolum;Vilamacolum;Vilamacolum;Vilamacolum;172253;17225;Alt Empordà;2;AEM;Girona;17;504690;4671588;3.056801259;42.196431635
Vilamalla;Vilamalla;Vilamalla;Vilamalla;172266;17226;Alt Empordà;2;AEM;Girona;17;497563;4673946;2.970474501;42.217683894
Vilamaniscle;Vilamaniscle;Vilamaniscle;Vilamaniscle;172272;17227;Alt Empordà;2;AEM;Girona;17;505580;4691433;3.067773732;42.375159545
Vilanant;Vilanant;Vilanant;Vilanant;172288;17228;Alt Empordà;2;AEM;Girona;17;490818;4678050;2.888685182;42.254596326
Vilaür;Vilaür;Vilaür;Vilaür;172229;17222;Alt Empordà;2;AEM;Girona;17;496289;4665722;2.955087148;42.143610132
el Far d'Empordà;Far d'Empordà, el;el Far d'Empordà;Far d'Empordà, el;170059;17005;Alt Empordà;2;AEM;Girona;17;499689;4677721;2.996235357;42.251679719
el Port de la Selva;Port de la Selva, el;el Port de la Selva;Port de la Selva, el;171404;17140;Alt Empordà;2;AEM;Girona;17;516864;4687373;3.204721567;42.338430754
l'Armentera;Armentera, l';l'Armentera;Armentera, l';170118;17011;Alt Empordà;2;AEM;Girona;17;506155;4668887;3.074523974;42.172101301
l'Escala;Escala, l';l'Escala;Escala, l';170622;17062;Alt Empordà;2;AEM;Girona;17;510952;4663640;3.132502105;42.124790453
la Jonquera;Jonquera, la;la Jonquera;Jonquera, la;170865;17086;Alt Empordà;2;AEM;Girona;17;489655;4696131;2.874256251;42.417415518
la Selva de Mar;Selva de Mar, la;la Selva de Mar;Selva de Mar, la;171886;17188;Alt Empordà;2;AEM;Girona;17;515365;4685822;3.186472926;42.324487885
