Densitat de població. Comarques, àmbits i províncies
2008
"Font: Idescat. Padró municipal d'habitants; Institut Cartogràfic de Catalunya."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=200800
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;44178;538;82,1
Alt Empordà;135413;1358;99,7
Alt Penedès;101758;593;171,7
Alt Urgell;21942;1447;15,2
Alta Ribagorça;4332;427;10,1
Anoia;114810;866;132,5
Bages;181346;1299;139,6
Baix Camp;187403;697;268,8
Baix Ebre;81304;1003;81,1
Baix Empordà;130738;702;186,3
Baix Llobregat;781749;486;1609,5
Baix Penedès;95644;296;322,9
Barcelonès;2235578;145;15447,6
Berguedà;41488;1185;35,0
Cerdanya;18658;547;34,1
Conca de Barberà;21161;650;32,5
Garraf;140412;185;757,8
Garrigues;20350;798;25,5
Garrotxa;54437;735;74,0
Gironès;175148;575;304,4
Maresme;420521;399;1054,2
Montsià;71058;735;96,6
Noguera;39507;1784;22,1
Osona;150139;1260;119,1
Pallars Jussà;13715;1343;10,2
Pallars Sobirà;7446;1378;5,4
Pla d'Urgell;36069;305;118,2
Pla de l'Estany;29645;263;112,8
Priorat;9869;499;19,8
Ribera d'Ebre;23844;827;28,8
Ripollès;26831;956;28,1
Segarra;22337;723;30,9
Segrià;197391;1397;141,3
Selva;164646;995;165,5
Solsonès;13685;1001;13,7
Tarragonès;241549;319;757,5
Terra Alta;12885;743;17,3
Urgell;36064;580;62,2
Val d'Aran;10194;634;16,1
Vallès Occidental;862369;583;1478,8
Vallès Oriental;386465;851;454,1
Catalunya;7364078;32107;229,4
Metropolità;4928852;3242;1520,5
Comarques Gironines;716858;5584;128,4
Camp de Tarragona;599804;2999;200,0
Terres de l'Ebre;189091;3309;57,1
Ponent;351718;5586;63,0
Comarques Centrals;501468;5612;89,4
Alt Pirineu i Aran;76287;5776;13,2
Barcelona;5416447;7726;701,1
Girona;731864;5905;123,9
Lleida;426872;12168;35,1
Tarragona;788895;6308;125,1

