Densitat de població. Comarques, àmbits i províncies
2011
"Font: Idescat. Padró municipal d'habitants; Institut Cartogràfic de Catalunya."
Nota: La Llei 23/2010, de 22 de juliol, de creació de l'àmbit del Penedès, divideix Catalunya en vuit àmbits territorials de planificació. Aquest canvi comporta que les dades dels àmbits Metropolità, Comarques Centrals i Camp de Tarragona no siguin directament comparables amb anys anteriors.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=201100
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;45189;538;84,0
Alt Empordà;140428;1358;103,4
Alt Penedès;105670;593;178,3
Alt Urgell;22008;1447;15,2
Alta Ribagorça;4284;427;10,0
Anoia;118509;866;136,8
Bages;185865;1299;143,1
Baix Camp;191947;697;275,3
Baix Ebre;82634;1003;82,4
Baix Empordà;133116;702;189,7
Baix Llobregat;803705;486;1653,7
Baix Penedès;101115;296;341,1
Barcelonès;2246280;146;15411,9
Berguedà;41540;1185;35,0
Cerdanya;18783;547;34,4
Conca de Barberà;21290;650;32,7
Garraf;146469;185;791,3
Garrigues;20306;798;25,5
Garrotxa;55597;735;75,7
Gironès;182916;576;317,8
Maresme;434897;399;1091,3
Montsià;72261;735;98,3
Noguera;40231;1784;22,6
Osona;154204;1260;122,4
Pallars Jussà;14374;1343;10,7
Pallars Sobirà;7548;1378;5,5
Pla d'Urgell;37265;305;122,1
Pla de l'Estany;31169;263;118,6
Priorat;10087;499;20,2
Ribera d'Ebre;23889;827;28,9
Ripollès;26393;957;27,6
Segarra;23191;723;32,1
Segrià;207633;1397;148,7
Selva;172280;995;173,1
Solsonès;13808;1001;13,8
Tarragonès;250142;319;783,2
Terra Alta;12847;743;17,3
Urgell;37396;580;64,5
Val d'Aran;10192;634;16,1
Vallès Occidental;892260;583;1530,1
Vallès Oriental;399900;851;469,9
Catalunya;7539618;32108;234,8
Metropolità;4777042;2464;1938,4
Comarques Gironines;741899;5584;132,9
Camp de Tarragona;518655;2703;191,9
Terres de l'Ebre;191631;3308;57,9
Ponent;366022;5586;65,5
Comarques Centrals;395417;4746;83,3
Alt Pirineu i Aran;77189;5776;13,4
Penedès;471763;1941;243,1
Barcelona;5529099;7726;715,6
Girona;756810;5905;128,2
Lleida;442308;12168;36,3
Tarragona;811401;6308;128,6

