Densitat de població. Comarques i Aran, àmbits i províncies
2015
"Font: Idescat. Padró municipal d'habitants; Institut Cartogràfic de Catalunya."
Nota: La nova comarca del Moianès es va crear l'1 de maig de 2015 (Llei 4/2015, de 23 d'abril, de creació de la comarca del Moianès) a partir de l'agregació de cinc municipis de la comarca del Bages, un de la comarca d'Osona i quatre de la comarca del Vallès Oriental.
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=201500
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;44306;538;82,4
Alt Empordà;139838;1358;103,0
Alt Penedès;106168;593;179,1
Alt Urgell;20695;1448;14,3
Alta Ribagorça;3884;427;9,1
Anoia;117444;866;135,6
Aran;9926;634;15,7
Bages;174604;1092;159,9
Baix Camp;188026;697;269,7
Baix Ebre;79748;1003;79,5
Baix Empordà;132355;702;188,6
Baix Llobregat;806651;486;1659,8
Baix Penedès;99934;297;337,1
Barcelonès;2225144;146;15266,9
Berguedà;39517;1185;33,3
Cerdanya;17870;547;32,7
Conca de Barberà;20482;650;31,5
Garraf;145983;185;788,6
Garrigues;19342;798;24,3
Garrotxa;56063;735;76,3
Gironès;184993;576;321,4
Lluçanès;..;..;..
Maresme;439512;399;1102,8
Moianès;13098;338;38,8
Montsià;68524;735;93,2
Noguera;39109;1784;21,9
Osona;154925;1245;124,4
Pallars Jussà;13609;1343;10,1
Pallars Sobirà;7060;1378;5,1
Pla d'Urgell;37053;305;121,4
Pla de l'Estany;31536;263;120,0
Priorat;9547;499;19,2
Ribera d'Ebre;22723;827;27,5
Ripollès;25342;957;26,5
Segarra;22647;723;31,3
Segrià;209324;1397;149,9
Selva;168555;995;169,4
Solsonès;13414;1001;13,4
Tarragonès;249939;319;782,6
Terra Alta;11872;743;16,0
Urgell;36308;580;62,6
Vallès Occidental;900661;583;1544,5
Vallès Oriental;400375;735;544,7
Catalunya;7508106;32108;233,8
Metropolità;4776107;2464;1938,1
Comarques Gironines;738682;5584;132,3
Camp de Tarragona;512300;2703;189,5
Terres de l'Ebre;182867;3309;55,3
Ponent;363783;5586;65,1
Comarques Centrals;397038;4941;80,4
Alt Pirineu i Aran;73044;5776;12,7
Penedès;464285;1746;266,0
Barcelona;5523922;7726;714,9
Girona;753054;5905;127,5
Lleida;436029;12168;35,8
Tarragona;795101;6308;126,0

