Densitat de població. Comarques i Aran, àmbits i províncies
2016
"Font: Idescat. Padró municipal d'habitants; Institut Cartogràfic de Catalunya."
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=201600
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;44107;538;82,0
Alt Empordà;140118;1358;103,2
Alt Penedès;106275;593;179,3
Alt Urgell;20548;1448;14,2
Alta Ribagorça;3867;427;9,1
Anoia;117504;866;135,6
Aran;9930;634;15,7
Bages;174381;1092;159,7
Baix Camp;188358;697;270,2
Baix Ebre;78977;1003;78,8
Baix Empordà;132598;702;189,0
Baix Llobregat;809883;486;1666,5
Baix Penedès;99813;296;336,7
Barcelonès;2232833;146;15319,6
Berguedà;39178;1185;33,0
Cerdanya;17704;547;32,4
Conca de Barberà;20220;650;31,1
Garraf;146876;185;793,5
Garrigues;19090;798;23,9
Garrotxa;55999;735;76,2
Gironès;186178;576;323,4
Lluçanès;..;..;..
Maresme;441505;399;1107,8
Moianès;13209;338;39,1
Montsià;67646;735;92,0
Noguera;38955;1784;21,8
Osona;155641;1245;125,0
Pallars Jussà;13453;1343;10,0
Pallars Sobirà;6986;1378;5,1
Pla d'Urgell;36711;305;120,3
Pla de l'Estany;31561;263;120,1
Priorat;9381;499;18,8
Ribera d'Ebre;22471;827;27,2
Ripollès;25101;957;26,2
Segarra;22688;723;31,4
Segrià;208881;1397;149,6
Selva;167694;995;168,5
Solsonès;13313;1001;13,3
Tarragonès;249565;319;781,4
Terra Alta;11761;743;15,8
Urgell;36059;580;62,2
Vallès Occidental;904240;583;1550,7
Vallès Oriental;401338;735;546,0
Catalunya;7522596;32108;234,3
Metropolità;4793592;2464;1945,2
Comarques Gironines;739249;5584;132,4
Camp de Tarragona;511631;2703;189,3
Terres de l'Ebre;180855;3308;54,7
Ponent;362384;5586;64,9
Comarques Centrals;397144;4941;80,4
Alt Pirineu i Aran;72488;5776;12,6
Penedès;465253;1746;266,5
Barcelona;5542680;7726;717,4
Girona;753576;5905;127,6
Lleida;434041;12168;35,7
Tarragona;792299;6308;125,6

