Densitat de població. Comarques i Aran, àmbits i províncies
2024
Font: Idescat, a partir del Cens de població anual de l'INE.
Nota: A partir del maig de 2023, les dades es presenten segons la distribució territorial vigent (Llei 7/2023, de creació de la comarca del Lluçanès, que també modifica territorialment Osona).
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=202400
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;46388;538;86,2
Alt Empordà;148732;1358;109,6
Alt Penedès;114189;593;192,7
Alt Urgell;21128;1447;14,6
Alta Ribagorça;4040;427;9,5
Anoia;128432;866;148,3
Aran;10545;634;16,6
Bages;185352;1092;169,7
Baix Camp;204458;697;293,3
Baix Ebre;82399;1003;82,2
Baix Empordà;143443;702;204,4
Baix Llobregat;848827;486;1746,6
Baix Penedès;118350;296;399,2
Barcelonès;2354301;146;16153,0
Berguedà;41058;1185;34,6
Cerdanya;20115;547;36,8
Conca de Barberà;20569;650;31,6
Garraf;161907;185;874,7
Garrigues;19075;798;23,9
Garrotxa;62449;735;85,0
Gironès;205573;576;357,2
Lluçanès;5718;227;25,2
Maresme;472572;399;1185,8
Moianès;14758;338;43,7
Montsià;71460;735;97,2
Noguera;39727;1784;22,3
Osona;164006;1019;161,0
Pallars Jussà;13383;1343;10,0
Pallars Sobirà;7332;1378;5,3
Pla d'Urgell;38111;305;124,9
Pla de l'Estany;33564;263;127,7
Priorat;9420;499;18,9
Ribera d'Ebre;22132;827;26,8
Ripollès;25826;957;27,0
Segarra;22667;563;40,2
Segrià;217853;1397;156,0
Selva;185264;995;186,2
Solsonès;15323;1161;13,2
Tarragonès;275122;319;861,5
Terra Alta;11446;743;15,4
Urgell;38531;580;66,5
Vallès Occidental;960033;583;1646,3
Vallès Oriental;426653;735;580,5
Catalunya;8012231;32108;249,5
Metropolità;5066684;2464;2056,0
Comarques Gironines;804851;5584;144,1
Camp de Tarragona;555957;2703;205,7
Terres de l'Ebre;187437;3308;56,7
Ponent;375964;5426;69,3
Comarques Centrals;427296;5100;83,8
Alt Pirineu i Aran;76543;5776;13,3
Penedès;517499;1746;296,4
Barcelona;5877672;7726;760,7
Girona;821108;5905;139,1
Lleida;451707;12168;37,1
Tarragona;861744;6308;136,6

