Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2005
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200500&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;6098;4224;12771;9279;6875;39247
Alt Empordà;18227;12117;38071;27048;19406;114869
Alt Penedès;14958;9533;31870;20989;14618;91968
Alt Urgell;2591;1963;6577;4902;4264;20297
Alta Ribagorça;493;352;1368;909;767;3889
Anoia;17162;11379;34893;23987;16411;103832
Bages;24570;16890;53548;39751;32229;166988
Baix Camp;27192;17634;54764;37843;24324;161757
Baix Ebre;10480;8008;22878;17205;14535;73106
Baix Empordà;18214;11888;38466;28050;19151;115769
Baix Llobregat;121515;78136;268372;175901;95652;739576
Baix Penedès;12769;8032;26649;19383;11185;78018
Barcelonès;280156;210141;721707;540814;421683;2174501
Berguedà;4898;3955;11346;9900;9389;39488
Cerdanya;2411;1730;5917;3911;2578;16547
Conca de Barberà;2763;2076;6014;4577;4393;19823
Garraf;20525;12134;43581;30132;17384;123756
Garrigues;2389;1911;5460;4795;5026;19581
Garrotxa;7299;4891;15517;12334;10987;51028
Gironès;27239;17816;55541;34612;22725;157933
Maresme;64291;41767;134361;95279;55546;391244
Montsià;8884;6884;20132;14201;11913;62014
Noguera;5038;3659;11351;8435;8352;36835
Osona;22936;14801;45970;32590;23870;140167
Pallars Jussà;1485;1131;3518;2976;3542;12652
Pallars Sobirà;900;589;2311;1614;1465;6879
Pla d'Urgell;4775;3305;10786;7204;6487;32557
Pla de l'Estany;4693;2918;8719;6273;4612;27215
Priorat;1100;819;2736;2366;2495;9516
Ribera d'Ebre;2875;2327;6224;5635;5153;22214
Ripollès;3118;2435;7643;6901;6177;26274
Segarra;3174;2137;7265;4343;3987;20906
Segrià;27552;19128;60750;41324;31261;180015
Selva;22248;14295;47579;32546;20302;136970
Solsonès;1960;1276;4091;2993;2458;12778
Tarragonès;33510;22671;71446;48734;28883;205244
Terra Alta;1470;1229;3385;3163;3423;12670
Urgell;4986;3433;10768;7473;6867;33527
Val d'Aran;1364;982;3420;2054;1097;8917
Vallès Occidental;138148;86906;283785;184970;108597;802406
Vallès Oriental;60910;37949;127471;81618;45771;353719
Catalunya;1037366;705451;2329021;1639014;1135840;6846692
Metropolità;700503;476566;1611147;1129703;759251;4677170
Comarques Gironines;101038;66360;211536;147764;103360;630058
Camp de Tarragona;83432;55456;174380;122182;78155;513605
Terres de l'Ebre;23709;18448;52619;40204;35024;170004
Ponent;47914;33573;106380;73574;61980;323421
Comarques Centrals;71526;48301;149848;109221;84357;463253
Alt Pirineu i Aran;9244;6747;23111;16366;13713;69181
Barcelona;770089;523538;1756777;1235862;840961;5127227
Girona;103022;67860;216477;150858;105382;643599
Lleida;57114;40149;128768;89908;76308;392247
Tarragona;107141;73904;226999;162386;113189;683619
Població a 1 de gener. Per sexe i grups d'edat. Homes. Comarques, àmbits i províncies
2005
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200500&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3129;2218;6712;4800;3036;19895
Alt Empordà;9297;6155;19785;13808;8602;57647
Alt Penedès;7655;4940;16847;10698;6378;46518
Alt Urgell;1363;954;3328;2593;1951;10189
Alta Ribagorça;265;173;761;496;356;2051
Anoia;8853;5766;18471;12191;7048;52329
Bages;12738;8625;28021;19874;13386;82644
Baix Camp;13899;8850;28383;19069;10536;80737
Baix Ebre;5448;4160;12418;8618;6420;37064
Baix Empordà;9354;6125;20180;14220;8464;58343
Baix Llobregat;62562;39937;138073;87257;41384;369213
Baix Penedès;6509;4028;14048;9950;5199;39734
Barcelonès;143805;106230;368335;255395;166882;1040647
Berguedà;2546;2011;5938;5036;4000;19531
Cerdanya;1278;916;3196;2102;1158;8650
Conca de Barberà;1437;1073;3219;2380;1919;10028
Garraf;10370;6105;22062;15108;7424;61069
Garrigues;1245;1011;3000;2486;2316;10058
Garrotxa;3727;2503;8166;6358;4708;25462
Gironès;13978;8883;28964;17184;9502;78511
Maresme;33321;21577;68917;47486;23378;194679
Montsià;4545;3522;10732;7257;5435;31491
Noguera;2558;1864;6056;4358;3815;18651
Osona;11896;7621;24275;16439;10050;70281
Pallars Jussà;769;587;1885;1564;1595;6400
Pallars Sobirà;442;317;1210;914;681;3564
Pla d'Urgell;2448;1709;5890;3679;2875;16601
Pla de l'Estany;2361;1478;4518;3171;2027;13555
Priorat;538;457;1505;1274;1135;4909
Ribera d'Ebre;1477;1249;3265;2940;2322;11253
Ripollès;1608;1286;4028;3516;2662;13100
Segarra;1617;1101;4144;2236;1788;10886
Segrià;14108;9803;32080;20661;13295;89947
Selva;11561;7469;25187;16730;9047;69994
Solsonès;1007;658;2208;1556;1136;6565
Tarragonès;17294;11662;36776;24381;12415;102528
Terra Alta;761;687;1803;1677;1598;6526
Urgell;2558;1741;5864;3832;3009;17004
Val d'Aran;714;521;1817;1101;495;4648
Vallès Occidental;71172;44458;145145;91504;45586;397865
Vallès Oriental;31299;19555;66231;41151;19908;178144
Catalunya;533512;359985;1203443;807050;474921;3378911
Metropolità;360184;242802;825610;548599;310940;2288135
Comarques Gironines;51886;33899;110828;74987;45012;316612
Camp de Tarragona;42806;28288;90643;61854;34240;257831
Terres de l'Ebre;12231;9618;28218;20492;15775;86334
Ponent;24534;17229;57034;37252;27098;163147
Comarques Centrals;37040;24681;78913;55096;35620;231350
Alt Pirineu i Aran;4831;3468;12197;8770;6236;35502
Barcelona;396233;266801;902224;602094;345341;2512693
Girona;52945;34684;113520;76640;45914;323703
Lleida;29297;20594;68838;45970;33646;198345
Tarragona;55037;37906;118861;82346;50020;344170
Població a 1 de gener. Per sexe i grups d'edat. Dones. Comarques, àmbits i províncies
2005
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200500&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;2969;2006;6059;4479;3839;19352
Alt Empordà;8930;5962;18286;13240;10804;57222
Alt Penedès;7303;4593;15023;10291;8240;45450
Alt Urgell;1228;1009;3249;2309;2313;10108
Alta Ribagorça;228;179;607;413;411;1838
Anoia;8309;5613;16422;11796;9363;51503
Bages;11832;8265;25527;19877;18843;84344
