Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques i Aran, àmbits i províncies
2024
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=202400&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;7182;4657;11209;14152;9188;46388
Alt Empordà;23566;14919;37807;43894;28546;148732
Alt Penedès;18699;11873;27019;35454;21144;114189
Alt Urgell;2779;1920;5144;6553;4732;21128
Alta Ribagorça;532;354;1003;1339;812;4040
Anoia;20507;13674;31134;38953;24164;128432
Aran;1361;955;2971;3485;1773;10545
Bages;28748;18607;44151;55382;38464;185352
Baix Camp;33365;21384;50057;61235;38417;204458
Baix Ebre;12056;7913;19808;24191;18431;82399
Baix Empordà;21693;13716;34374;44119;29541;143443
Baix Llobregat;130765;89326;205161;263691;159884;848827
Baix Penedès;18211;11591;28236;36461;23851;118350
Barcelonès;307520;220994;695658;645648;484481;2354301
Berguedà;5556;3561;9533;12075;10333;41058
Cerdanya;2801;1985;5324;6276;3729;20115
Conca de Barberà;2888;1963;4700;6295;4723;20569
Garraf;23629;16277;38059;52669;31273;161907
Garrigues;2589;1639;4371;5558;4918;19075
Garrotxa;9406;6407;16072;17651;12913;62449
Gironès;35821;23093;55932;57470;33257;205573
Lluçanès;790;458;1366;1670;1434;5718
Maresme;71703;47958;111650;146739;94522;472572
Moianès;2132;1466;3419;4744;2997;14758
Montsià;10279;7106;17036;21546;15493;71460
Noguera;5899;3779;9508;11801;8740;39727
Osona;26704;17220;41339;48038;30705;164006
Pallars Jussà;1654;1128;3132;4033;3436;13383
Pallars Sobirà;900;637;1889;2320;1586;7332
Pla d'Urgell;6247;3783;9244;11480;7357;38111
Pla de l'Estany;5695;3458;8310;9600;6501;33564
Priorat;1107;788;2128;2910;2487;9420
Ribera d'Ebre;2903;1841;5101;6577;5710;22132
Ripollès;3382;2157;5663;7931;6693;25826
Segarra;3738;2480;5677;6779;3993;22667
Segrià;33430;22360;54986;66266;40811;217853
Selva;28431;18653;47063;56371;34746;185264
Solsonès;2282;1503;3623;4582;3333;15323
Tarragonès;44207;28196;71176;81726;49817;275122
Terra Alta;1431;969;2531;3217;3298;11446
Urgell;6220;3896;9420;11369;7626;38531
Vallès Occidental;155180;104717;237346;290658;172132;960033
Vallès Oriental;66011;46074;103478;133583;77507;426653
Catalunya;1189999;807435;2082808;2366491;1565498;8012231
Metropolità;731801;509495;1354243;1481756;989389;5066684
Comarques Gironines;127994;82403;205221;237036;152197;804851
Camp de Tarragona;88749;56988;139270;166318;104632;555957
Terres de l'Ebre;26669;17829;44476;55531;42932;187437
Ponent;58123;37937;93206;113253;73445;375964
Comarques Centrals;66479;42875;103720;126597;87625;427296
Alt Pirineu i Aran;10027;6979;19463;24006;16068;76543
Penedès;80157;52929;123209;161994;99210;517499
Barcelona;857901;592224;1549294;1729250;1149003;5877672
Girona;130324;84061;209646;242035;155042;821108
Lleida;68145;44742;111886;136896;90038;451707
Tarragona;133629;86408;211982;258310;171415;861744
Població a 1 de gener. Per sexe i grups d'edat. Homes. Comarques i Aran, àmbits i províncies
2024
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=202400&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3665;2562;5856;7338;4218;23639
Alt Empordà;12081;7793;19347;22499;12924;74644
Alt Penedès;9618;6259;13582;18254;9455;57168
Alt Urgell;1431;1047;2680;3287;2187;10632
Alta Ribagorça;286;176;519;727;399;2107
Anoia;10616;7156;16125;20172;10760;64829
Aran;705;487;1526;1836;843;5397
Bages;14906;9677;22309;28298;16883;92073
Baix Camp;17226;11088;24765;30683;17109;100871
Baix Ebre;6210;4316;10506;12486;8366;41884
Baix Empordà;11180;7183;17404;22448;13445;71660
Baix Llobregat;67243;46203;102491;130990;68783;415710
Baix Penedès;9344;6032;14208;18712;10945;59241
Barcelonès;158445;113466;349837;313164;196476;1131388
Berguedà;2872;1921;4907;6181;4616;20497
Cerdanya;1444;1024;2769;3289;1777;10303
Conca de Barberà;1504;1056;2488;3331;2205;10584
Garraf;12168;8369;18927;26464;14003;79931
Garrigues;1345;903;2417;3033;2271;9969
Garrotxa;4840;3632;8418;8985;5821;31696
Gironès;18509;12133;28138;28842;14440;102062
Lluçanès;398;232;727;851;669;2877
Maresme;37010;25076;56331;72940;41309;232666
Moianès;1109;776;1836;2501;1422;7644
Montsià;5229;3910;8875;11012;7154;36180
Noguera;3042;2079;5195;6351;3991;20658
Osona;13819;9099;21357;24819;13546;82640
Pallars Jussà;843;588;1735;2104;1605;6875
Pallars Sobirà;465;333;979;1239;797;3813
Pla d'Urgell;3218;2011;4900;6202;3342;19673
Pla de l'Estany;2932;1810;4176;4868;2930;16716
Priorat;566;441;1188;1596;1184;4975
Ribera d'Ebre;1532;987;2750;3386;2665;11320
Ripollès;1752;1167;2893;4126;3007;12945
Segarra;1935;1374;2997;3707;1827;11840
Segrià;17240;12002;29097;34582;17761;110682
Selva;14555;9857;24141;28937;15891;93381
Solsonès;1180;796;1847;2402;1514;7739
Tarragonès;22780;14607;35805;41034;21861;136087
Terra Alta;719;525;1381;1650;1521;5796
Urgell;3125;2070;4930;6003;3452;19580
Vallès Occidental;79707;53857;118747;144114;74387;470812
Vallès Oriental;34096;24120;52582;67296;34420;212514
Catalunya;612890;420200;1053688;1182739;674181;3943698
Metropolità;376830;262938;680488;729281;415794;2465331
