Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2003
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=200300
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,46;16048,91;4102,54;20151,37
02;Alt Empordà;2,60;92602,66;12674,57;105277,22
03;Alt Penedès;1,64;38945,69;12590,04;51535,67
04;Alt Urgell;1,33;6035,40;3707,74;9743,19
05;Alta Ribagorça;1,61;1946,58;224,65;2171,24
06;Anoia;1,55;49213,08;6722,52;55935,62
39;Aran;2,43;6860,60;575,58;7436,16
07;Bages;1,40;69649,60;12664,50;82314,18
08;Baix Camp;1,72;71962,26;26061,30;98023,52
09;Baix Ebre;1,39;30865,47;4880,05;35745,55
10;Baix Empordà;2,70;97146,59;13699,18;110845,71
11;Baix Llobregat;1,38;286018,22;82209,47;368227,71
12;Baix Penedès;2,41;55332,94;5518,87;60851,83
13;Barcelonès;1,41;895192,00;234655,98;1129847,99
14;Berguedà;1,52;18480,01;3061,35;21541,33
15;Cerdanya;2,14;10495,05;1661,17;12156,23
16;Conca de Barberà;1,22;7299,52;1343,32;8642,77
17;Garraf;1,93;59372,00;23446,76;82818,76
18;Garrigues;1,16;7456,66;710,08;8166,71
19;Garrotxa;1,56;23129,09;5098,91;28228,03
20;Gironès;1,45;63774,03;15103,17;78877,15
21;Maresme;1,78;204501,87;40975,54;245477,43
22;Montsià;1,40;25048,14;5902,78;30950,90
23;Noguera;1,60;19399,29;1501,89;20901,18
24;Osona;1,30;43829,19;20527,46;64356,70
25;Pallars Jussà;1,33;4493,73;1594,32;6088,10
26;Pallars Sobirà;2,13;4130,00;849,28;4979,24
27;Pla d'Urgell;1,29;12725,66;1865,41;14591,11
28;Pla de l'Estany;1,67;14318,47;1925,50;16243,95
29;Priorat;1,09;3306,29;402,17;3708,46
30;Ribera d'Ebre;1,11;7859,18;1244,53;9103,71
31;Ripollès;1,64;13972,00;1655,10;15627,13
32;Segarra;1,38;6417,18;3505,24;9922,42
33;Segrià;1,32;75232,53;8354,35;83586,87
34;Selva;2,23;96409,78;10917,81;107327,56
35;Solsonès;1,39;5020,33;1101,14;6121,48
36;Tarragonès;2,05;116974,85;30027,43;147002,27
37;Terra Alta;1,08;4349,50;489,46;4838,96
38;Urgell;1,17;11605,33;2219,17;13824,51
40;Vallès Occidental;1,45;331434,25;77921,99;409356,21
41;Vallès Oriental;1,44;141645,79;37082,31;178728,06
;Catalunya;1,61;3050499,68;892539,82;3943039,50

