Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2021
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 41 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 4/2015, de creació de la comarca del Moianès, que modifica territorialment el Bages, Osona i el Vallès Oriental).
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=202100
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,43;12250,85;11183,65;23434,51
02;Alt Empordà;2,16;58894,19;54416,31;113310,50
03;Alt Penedès;1,58;33209,16;30294,96;63504,12
04;Alt Urgell;1,43;5097,08;5542,89;10639,97
05;Alta Ribagorça;1,57;1110,50;1145,24;2255,74
06;Anoia;1,40;33285,70;30137,74;63423,44
39;Aran;2,06;4485,56;3310,73;7796,29
07;Bages;1,37;42541,23;48106,42;90647,65
08;Baix Camp;1,59;61560,78;51942,70;113503,48
09;Baix Ebre;1,66;26988,24;20615,88;47604,12
10;Baix Empordà;2,29;59086,28;55522,03;114608,30
11;Baix Llobregat;1,29;227963,34;164861,20;392824,54
12;Baix Penedès;1,86;44636,83;30254,95;74891,78
13;Barcelonès;1,20;631441,54;370294,33;1001735,87
14;Berguedà;1,29;5908,81;12967,84;18876,65
15;Cerdanya;1,92;9649,31;3842,84;13492,15
16;Conca de Barberà;1,40;2015,84;8283,70;10299,54
17;Garraf;1,65;52107,00;40557,70;92664,70
18;Garrigues;1,08;4397,48;3088,26;7485,74
19;Garrotxa;1,26;13485,19;13814,79;27299,97
20;Gironès;1,21;40805,73;46349,42;87155,15
21;Maresme;1,50;128374,51;123396,60;251771,11
42;Moianès;1,56;2862,39;5263,76;8126,15
22;Montsià;1,51;18774,92;18835,32;37610,24
23;Noguera;1,24;10259,11;7423,47;17682,58
24;Osona;1,26;23756,57;51872,73;75629,30
25;Pallars Jussà;1,51;4014,12;3238,24;7252,36
26;Pallars Sobirà;2,02;1964,27;3267,06;5231,33
27;Pla d'Urgell;1,27;8694,78;8327,71;17022,49
28;Pla de l'Estany;1,35;8937,82;7242,50;16180,32
29;Priorat;1,25;2027,81;2175,33;4203,14
30;Ribera d'Ebre;1,18;4817,25;4613,84;9431,09
31;Ripollès;1,59;7104,86;7665,54;14770,40
32;Segarra;1,23;4246,11;6267,97;10514,08
33;Segrià;1,19;53115,97;38741,75;91857,72
34;Selva;1,68;57410,48;50445,52;107856,00
35;Solsonès;1,34;3296,40;3363,76;6660,16
36;Tarragonès;1,57;89954,22;60459,40;150413,63
37;Terra Alta;1,14;1761,33;2982,60;4743,93
38;Urgell;1,33;8913,69;9146,94;18060,63
40;Vallès Occidental;1,20;227324,16;184950,03;412274,19
41;Vallès Oriental;1,35;110881,17;93714,23;204595,39
;Catalunya;1,42;2149412,57;1880595,87;4030008,44

